artist,alphaname
13th Floor Elevators,Thirteenth Floor Elevators
Abderraouf Ouertani,"Ouertani, Abderraouf"
Alphataurus,Alphataurus
Anton Webern,"Webern, Anton"
Anvil,Anvil
Aram Khachaturian,"Khachaturian, Aram"
Archie Shepp,"Shepp, Archie"
Arnold Schoenberg,"Schoenberg, Arnold"
Area,Area
Aziz Sahmaoui,"Sahmaoui, Aziz"
Beggars Opera,Beggars Opera
Bill Bruford's Earthworks,Bill Bruford's Earthworks
Bobby Timmons Trio,Bobby Timmons Trio
Camille Saint-Saëns,"Saint-Saëns, Camille"
Cannonball Adderley,"Adderley, Cannonball"
Cheikha Rimitti,"Rimitti, Cheikha"
Chicken Shack,Chicken Shack
Djamel Laroussi,"Laroussi, Djamel"
Dream Theater,Dream Theater
Dün,Dün
Eloy,Eloy
Franco Battiato,"Battiato, Franco"
Gentle Giant,Gentle Giant
Golden Earring,Golden Earring
Grobschnitt,Grobschnitt
Gustav Holst,"Holst, Gustav"
Gábor Szabó,"Szabó, Gábor"
Hank Mobley,Hank Mobley
Il Balletto di Bronzo,"Balletto di Bronzo, Il"
Il Rovescio Della Medaglia,"Rovescio Della Medaglia, Il"
Iron Maiden,Iron Maiden
Jaco Pastorius,"Pastorius, Jaco"
James Gang,James Gang
Jimmy Smith,"Smith, Jimmy"
Kikagaku Moyo,"Kikagaku Moyo"
King Gizzard & The Lizard Wizard,"King Gizzard & The Lizard Wizard"
Koenjihyakkei,Koenjihyakkei
Korekyojinn,Korekyojinn
Locanda delle fate,Locanda delle fate
Maxophone,Maxophone
McCoy Tyner,"Tyner, McCoy"
Nikolai Rimsky-Korsakov,"Rimsky-Korsakov, Nikolai"
Oliver Nelson,"Nelson, Oliver"
Ornette Coleman,"Coleman, Ornette"
Osanna,Osanna
Oscar Peterson Trio,Oscar Peterson Trio
Paco de Lucía,"de Lucía, Paco"
Pharoah Sanders,"Sanders, Pharoah"
Porcupine Tree,Porcupine Tree
Procol Harum,Procol Harum
Quella Vecchia Locanda,Quella Vecchia Locanda
Rainbow,Rainbow
Rick Wakeman,"Wakeman, Rick"
Robert Fripp,"Fripp, Robert"
Ruins,Ruins
TOOL,TOOL
Wayne Shorter,"Shorter, Wayne"
Wishbone Ash,Wishbone Ash
Xaal,Xaal
Zao,Zao
Rabih Abou-Khalil,"Abou-Khalil, Rabih"
Aerosmith,Aerosmith
Agitation Free,Agitation Free
The Alan Parsons Project,"Alan Parsons Project, The"
Allah-Las,Allah-Las
Allman Brothers Band,Allman Brothers Band
Aphrodite's Child,Aphrodite's Child
Arti & Mestieri,Arti & Mestieri
Arzachel,Arzachel
René Aubry,"Aubry, René"
Bad Company,Bad Company
Banco Del Mutuo Soccorso,Banco Del Mutuo Soccorso
The Band,"Band, The"
Hamid Baroudi,"Baroudi, Hamid"
The Beach Boys,"Beach Boys, The"
The Beatles,"Beatles, The"
Jeff Beck,"Beck, Jeff"
Chuck Berry,"Berry, Chuck"
Black Sabbath,Black Sabbath
Blind Faith,Blind Faith
"Blood, Sweat & Tears","Blood, Sweat & Tears"
Blue Öyster Cult,Blue Öyster Cult
Tommy Bolin,"Bolin, Tommy"
Booker T. & the M.G.'s,Booker T. & the M.G.'s
Anouar Brahem,"Brahem, Anouar"
Brand X,Brand X
The Brian Jonestown Massacre,"Brian Jonestown Massacre, The"
Jackson Browne,"Browne, Jackson"
Buena Vista Social Club,Buena Vista Social Club
Buffalo Springfield,Buffalo Springfield
The Byrds,"Byrds, The"
CAN,CAN
J.J. Cale,"Cale, J.J."
Camel,Camel
Captain Beefheart & His Magic Band,Captain Beefheart & His Magic Band
Eric Clapton,"Clapton, Eric"
Climax Blues Band,Climax Blues Band
Billy Cobham,"Cobham, Billy"
John Coltrane,"Coltrane, John"
Cream,Cream
Creedence Clearwater Revival,Creedence Clearwater Revival
Cressida,Cressida
"Crosby, Stills & Nash","Crosby, Stills & Nash"
"Crosby, Stills, Nash & Young","Crosby, Stills, Nash & Young"
Curved Air,Curved Air
The Dandy Warhols,"Dandy Warhols, The"
Pino Daniele,"Daniele, Pino"
Miles Davis,"Davis, Miles"
Claude Debussy,"Debussy, Claude"
Deep Purple,Deep Purple
Deodato,Deodato
Dire Straits,Dire Straits
