track_id,album_id,artist_id,track,artist
5bnIofBXF0hjybxLf6kPKq,3bV0ucrpo1ZFBowxXeMilJ,4lianjyuR1tqf6oUX8kjrZ,Omaggio A Giordano Bruno,Franco Battiato
2wLGFnxzu9vu9Pd1ZoFRaa,3bV0ucrpo1ZFBowxXeMilJ,4lianjyuR1tqf6oUX8kjrZ,Klavier,Franco Battiato
7HPvpZzYg7TM6OHOScF3ng,3bV0ucrpo1ZFBowxXeMilJ,4lianjyuR1tqf6oUX8kjrZ,Le Voci Si Faranno Presenze,Franco Battiato
5RUCs6uXZF47PuiqVsWzSD,3bV0ucrpo1ZFBowxXeMilJ,4lianjyuR1tqf6oUX8kjrZ,Leoncavallo,Franco Battiato
1MSfzutmY6uBu7oBHTv60C,1Bw3bHsQ9Xwlalhp4NjX1n,4lianjyuR1tqf6oUX8kjrZ,L'Animale - Remastered,Franco Battiato
22Qej6SOhsay4chW8Oj2LV,1Bw3bHsQ9Xwlalhp4NjX1n,4lianjyuR1tqf6oUX8kjrZ,I Treni Di Tozeur - Remastered,Franco Battiato
5dc1s3guiEhaZsPdOXgsmt,1Bw3bHsQ9Xwlalhp4NjX1n,4lianjyuR1tqf6oUX8kjrZ,Chan-Son Egocentrique - Remastered,Franco Battiato
23Bun0MB6eIYezsT03GUiF,1Bw3bHsQ9Xwlalhp4NjX1n,4lianjyuR1tqf6oUX8kjrZ,Il Re Del Mondo - 1985 Version / 2008 Remaster,Franco Battiato
3BjKJ6KZeTVsJMaqDothGO,1Bw3bHsQ9Xwlalhp4NjX1n,4lianjyuR1tqf6oUX8kjrZ,Temporary Road - 2008 Remaster,Franco Battiato
2DkXvMroI6UkNFMp0KcfYX,1Bw3bHsQ9Xwlalhp4NjX1n,4lianjyuR1tqf6oUX8kjrZ,Personal Computer - 2008 Remaster,Franco Battiato
48UjpoksJOCpZ8V9wtrXl5,1Bw3bHsQ9Xwlalhp4NjX1n,4lianjyuR1tqf6oUX8kjrZ,No Time No Space - Remastered,Franco Battiato
7meVUihZmyf4JaA0sVbEaH,1Bw3bHsQ9Xwlalhp4NjX1n,4lianjyuR1tqf6oUX8kjrZ,Risveglio Di Primavera - 2008 Remaster,Franco Battiato
0OGTYbYM8yJrcAZ18w99LL,1Bw3bHsQ9Xwlalhp4NjX1n,4lianjyuR1tqf6oUX8kjrZ,Via Lattea - Remastered 2008,Franco Battiato
3sI1koMyxeFD7BaBzPkO0s,6Ws5YQCEOfwmpTK01EALgv,4lianjyuR1tqf6oUX8kjrZ,Splendide Previsioni,Franco Battiato
4umpIl504PLH04HlePupAk,6Ws5YQCEOfwmpTK01EALgv,4lianjyuR1tqf6oUX8kjrZ,Amata Solitudine,Franco Battiato
0A8Rec5oMc8QuUPZ1EgPrz,5mhHyVk0zf9jvqvx9w77c5,4lianjyuR1tqf6oUX8kjrZ,Il Mantello E La Spiga,Franco Battiato
0dZAj2TBMozyiuTAIcLNBD,5mhHyVk0zf9jvqvx9w77c5,4lianjyuR1tqf6oUX8kjrZ,La Preda,Franco Battiato
0pVx93u0NdATyRJcqkKaqP,5mhHyVk0zf9jvqvx9w77c5,4lianjyuR1tqf6oUX8kjrZ,Il Ballo Del Potere,Franco Battiato
3MrokxhQcT0MALkzX74Jnv,5mhHyVk0zf9jvqvx9w77c5,4lianjyuR1tqf6oUX8kjrZ,Casta Diva,Franco Battiato
0q85myYFgcJZiZc0D1dtCx,4v4CPvh7qDax72R4u2TXFc,4lianjyuR1tqf6oUX8kjrZ,La Stagione Dell'Amore,Franco Battiato
7xrCGXkE9I2QhIn2jOvFzp,4YK7qYQ9I62koYRiN0II6v,4lianjyuR1tqf6oUX8kjrZ,La Musica È Stanca - 2008 Remaster,Franco Battiato
5eqAaELvI88OTZQhLX1g1I,7zDqAzJyPco6YimYnwwYfV,4lianjyuR1tqf6oUX8kjrZ,L'Era Del Cinghiale Bianco - 2008 Remaster,Franco Battiato
2l263rz6ci0piuFW0MvXm0,5LJfFPeNKEVoTYkGtNUvcp,4lianjyuR1tqf6oUX8kjrZ,Gli Uccelli - Mix 2015,Franco Battiato
4f42elLjRsGEJoSVSuewtM,5mhHyVk0zf9jvqvx9w77c5,4lianjyuR1tqf6oUX8kjrZ,Shock In My Town,Franco Battiato
3LBJnNUYG3qTfVSseG1YsN,0mq6gm5cbSU2dMNBV06UGB,4lianjyuR1tqf6oUX8kjrZ,Centro Di Gravità Permanente - Mix 2015,Franco Battiato
3sc9YIcDSPCXsQ0zzX3JLW,6Ws5YQCEOfwmpTK01EALgv,4lianjyuR1tqf6oUX8kjrZ,La Cura,Franco Battiato
5uqexHjmGO7zq179lMdTex,4sWf0wkRfi49tW4NLxdLj2,4lianjyuR1tqf6oUX8kjrZ,Nomadi - Remastered,Franco Battiato
4yhhqDE2T1XiD2Wp6Sr9Tz,7zDqAzJyPco6YimYnwwYfV,4lianjyuR1tqf6oUX8kjrZ,Il Re Del Mondo - 2008 Remaster,Franco Battiato
7lYXfltdMHNHtR5qg3xTX3,4RD4REp6RE2kVZ96Uf1TgB,4lianjyuR1tqf6oUX8kjrZ,Gli Uccelli - Live 1988 / Remastered 2020,Franco Battiato
6lKV0lMAoV6PKgHi0QTKTl,5M7J7onHGnZ4pL235ByUi4,4lianjyuR1tqf6oUX8kjrZ,Un'Altra Vita,Franco Battiato
7ra6SX2J2z9THkWzAOhYKG,5M7J7onHGnZ4pL235ByUi4,4lianjyuR1tqf6oUX8kjrZ,Inneres Auge,Franco Battiato
4FNGcmkXsL0nOM88pxKmEh,59eHxfqvwJyXhJGGtORaHv,4lianjyuR1tqf6oUX8kjrZ,Arabian Song - Remastered 2008,Franco Battiato
5OQNSMwq3Bl8D4EdYew0qj,5LJfFPeNKEVoTYkGtNUvcp,4lianjyuR1tqf6oUX8kjrZ,Summer On A Solitary Beach - Mix 2015,Franco Battiato
507zAPw9aVzXyjGaWqS312,0mq6gm5cbSU2dMNBV06UGB,4lianjyuR1tqf6oUX8kjrZ,Inneres Auge,Franco Battiato
2yC500GSdgMtfelbhF3n64,5LJfFPeNKEVoTYkGtNUvcp,4lianjyuR1tqf6oUX8kjrZ,Sentimiento Nuevo - Mix 2015,Franco Battiato
0RW29DaLDvm4VnIvqxPsUp,0mq6gm5cbSU2dMNBV06UGB,4lianjyuR1tqf6oUX8kjrZ,Center Of Gravity,Franco Battiato
2RL9I67GzFKeVt8hdUbbwC,5mhHyVk0zf9jvqvx9w77c5,4lianjyuR1tqf6oUX8kjrZ,Auto Da Fe',Franco Battiato
644qbOGNXiuOx23uCjXBaT,4YK7qYQ9I62koYRiN0II6v,4lianjyuR1tqf6oUX8kjrZ,Un'Altra Vita - Remastered,Franco Battiato
